
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-19T01:05:00.000	1	184	1	0	1	357	3
									1979-08-19T01:20:00.000	1	184	1	0	1	233	3
									1979-08-19T01:35:00.000	1	184	1	0	1	332	1
									1979-08-19T01:50:00.000	1	184	1	.048	1	357	1
									1979-08-19T02:05:00.000	1	184	1	.054	1	357	1
									1979-08-19T02:20:00.000	1	184	1	.039	1	90	1
									1979-08-19T02:35:00.000	1	184	1	.071	1	98	1
									1979-08-19T02:50:00.000	1	184	1	.089	1	278	1
									1979-08-19T03:05:00.000	1	184	1	.068	1	312	1
									1979-08-19T03:20:00.000	1	184	1	.06	1	304	1
									1979-08-19T03:35:00.000	1	184	1	.083	1	284	1
									1979-08-19T03:50:00.000	1	184	1	.077	1	287	1
									1979-08-19T04:05:00.000	1	184	1	.097	1	270	1
									1979-08-19T04:20:00.000	1	184	1	.118	1	110	1
									1979-08-19T04:35:00.000	1	184	1	.138	1	107	1
									1979-08-19T04:50:00.000	1	184	1	.217	1	121	1
									1979-08-19T05:05:00.000	1	184	1	.295	1	129	1
									1979-08-19T05:20:00.000	1	184	1	.223	1	127	1
									1979-08-19T05:35:00.000	1	184	1	.24	1	93	3
									1979-08-19T05:50:00.000	1	184	1	.278	1	354	3
									1979-08-19T06:05:00.000	1	184	1	.292	1	295	3
									1979-08-19T06:20:00.000	1	184	1	.237	1	307	3
									1979-08-19T06:35:00.000	1	184	1	.185	1	98	3
									1979-08-19T06:50:00.000	1	184	1	.147	1	152	3
									1979-08-19T07:05:00.000	1	184	1	.208	1	59	3
									1979-08-19T07:20:00.000	1	184	1	.22	1	149	3
									1979-08-19T07:35:00.000	1	184	1	.316	1	90	3
									1979-08-19T07:50:00.000	1	184	1	.24	1	307	3
									1979-08-19T08:05:00.000	1	184	1	.141	1	169	1
									1979-08-19T08:20:00.000	1	184	1	.266	1	172	1
									1979-08-19T08:35:00.000	1	184	1	.26	1	298	1
									1979-08-19T08:50:00.000	1	184	1	.406	1	309	1
									1979-08-19T09:05:00.000	1	184	1	.548	3	312	1
									1979-08-19T09:20:00.000	1	184	1	.368	1	98	3
									1979-08-19T09:35:00.000	1	184	1	.35	1	127	1
									1979-08-19T09:50:00.000	1	184	1	.359	1	270	1
									1979-08-19T10:05:00.000	1	184	1	.342	1	298	3
									1979-08-19T10:20:00.000	1	184	1	.438	1	281	3
